mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_F1_Score,split1_test_F1_Score,split2_test_F1_Score,split3_test_F1_Score,split4_test_F1_Score,mean_test_F1_Score,std_test_F1_Score,rank_test_F1_Score
0.4796740531921387,0.03735149095014813,0.024639463424682616,0.006435835439282496,15,2,200,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.9791666666666666,0.96875,0.9651567944250871,0.9825783972125436,0.9721254355400697,0.9735554587688734,0.006458700107674405,8,0.9795163938767943,0.970055518035913,0.9667770656762593,0.982609925196132,0.9728497272101277,0.9743617259990452,0.005881496926738908,6,0.9791542336870478,0.9685613939062214,0.9638888888888889,0.9824949826673963,0.9720096697682903,0.973221833783569,0.006804080550579431,7,0.9791497731939129,0.9687800444178679,0.9640849215620235,0.982370804600956,0.9720799471945053,0.973293098193853,0.0066833420125713885,5
0.11195859909057618,0.0060085841100228875,0.0067059993743896484,0.0021329115839693403,15,5,50,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9581881533101045,0.9825783972125436,0.9581881533101045,0.9693742740998837,0.009722785871478753,18,0.9767511520737328,0.973394777265745,0.9607216209716212,0.9830562030562031,0.9601339782297792,0.9708115463194161,0.009029957597612884,18,0.9755828051156193,0.9721246122970261,0.9571154898741107,0.9820014595876664,0.9587018792191205,0.9691052492187087,0.0096888798337726,17,0.9756810926519603,0.97223656463913,0.9575909943074574,0.9823107759678145,0.9587377512408892,0.9693114357614503,0.009667298545834625,17
0.2375277042388916,0.030052394001578924,0.018391132354736328,0.01994849927253425,15,5,100,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",0.9756944444444444,0.96875,0.9581881533101045,0.9930313588850174,0.9721254355400697,0.9735578784359273,0.011359378444771872,5,0.976050785411186,0.9701786707452726,0.9615659291688704,0.9933035714285715,0.9726272577996717,0.9747452429107145,0.010441740770350408,3,0.9757059578249787,0.9685613939062214,0.9569923371647511,0.9929802955665024,0.9723800401386606,0.9733240049202229,0.01168195502872806,3,0.9755751586915553,0.9687831204891098,0.9576620092511379,0.9930219488114226,0.9723242235017435,0.9734732921489938,0.01148810302965259,3
0.4180718421936035,0.02320850290736021,0.02127532958984375,0.005823851997981882,15,5,200,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",0.9791666666666666,0.9652777777777778,0.9686411149825784,0.9860627177700348,0.975609756097561,0.9749516066589237,0.007417033801929523,1,0.9798694316436253,0.9663609367551247,0.9707770656762593,0.9856878306878306,0.9761904761904763,0.9757771481906634,0.006764689414956031,1,0.9791542336870478,0.9651131180441525,0.9674603174603174,0.9856878306878306,0.9759514687100893,0.9746733937178874,0.007569102513972154,1,0.9792050326165782,0.9650895605705043,0.967858506467684,0.9856313335126894,0.9757775236135073,0.9747123913561927,0.0074848679404773836,1
0.11877222061157226,0.02042262578449299,0.008325910568237305,0.004166988089038713,15,10,50,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9825783972125436,0.9651567944250871,0.9645155826558266,0.01016598859549073,25,0.9667033623485237,0.9569237945962085,0.9570211184456671,0.9826354679802953,0.9666786140979688,0.9659924714937327,0.009388200740474565,25,0.9649825496877776,0.9547600802773216,0.9531654807516878,0.982609925196132,0.965713373471994,0.9642462818769826,0.010513705515735645,25,0.9648580745136239,0.9548790642247249,0.9532710430480552,0.9823891625615764,0.9655410182707238,0.9641876725237408,0.010386512511042953,25
0.1961757183074951,0.013178240493385033,0.016536426544189454,0.006716508889872756,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.9722222222222222,0.9513888888888888,0.9651567944250871,0.9860627177700348,0.9686411149825784,0.9686943476577623,0.011190193913354166,19,0.9742389331099008,0.9543275504621445,0.9675257287778635,0.9860582010582009,0.9694088669950739,0.9703118560806366,0.010270786093454587,19,0.9719120598430943,0.9510737091771574,0.9638888888888889,0.9859432585294654,0.968676336434957,0.9682988505747125,0.011319683450536511,23,0.9722573906058265,0.9516100141164708,0.9642949417829787,0.9859422331723847,0.9687505135799048,0.9685710186515131,0.011147566180726149,19
0.5149444580078125,0.03646280509074153,0.017306756973266602,0.00547655471806498,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.9652777777777778,0.9652777777777778,0.9651567944250871,0.9860627177700348,0.9616724738675958,0.9686895083236546,0.008795760992089114,20,0.9668975596047342,0.9663609367551247,0.9675257287778635,0.9860837438423644,0.9619120598430942,0.9697560057646362,0.00839992692612385,21,0.9652379775294124,0.9651131180441525,0.9638888888888889,0.9859432585294654,0.9617715745301952,0.968390963504423,0.008864013067478211,21,0.9652228922430615,0.9650895605705043,0.9642949417829787,0.9858364130665647,0.9616118965449919,0.9684111408416202,0.008809208300780412,22
0.10667829513549805,0.027152332265735504,0.008508253097534179,0.004347574214381612,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9722222222222222,0.9756944444444444,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9721617305458767,0.01124193562247436,12,0.9726629419225359,0.9770900537634409,0.9573514957528241,0.9897544891148895,0.9702995391705069,0.9734317039448396,0.010476558459932646,10,0.9716566320014597,0.9752198503922642,0.9534126984126985,0.9892765918627987,0.968676336434957,0.9716484218208356,0.011531543246550141,12,0.9716744357013205,0.9756621272143129,0.9536703518676759,0.9893936627836215,0.9689275098899464,0.9718656174913753,0.011501152774524771,10
0.22862610816955567,0.018301197945201093,0.012993860244750976,0.0036243703901117563,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9616724738675958,0.9860627177700348,0.9651567944250871,0.972161730545877,0.009088895608372092,10,0.9794849251961321,0.9704003456221197,0.9640385492906841,0.9859432585294654,0.9658707205537016,0.9731475598384206,0.008335055533753532,11,0.9789317642765918,0.9685613939062214,0.9603174603174605,0.9859432585294654,0.9649726327312533,0.9717453019521984,0.009379009488854444,10,0.9789085788101038,0.9687831204891098,0.9605734716719979,0.9858827624617097,0.965038160372683,0.9718372187611208,0.009270470759348932,11
0.45618643760681155,0.028697574939980944,0.022879552841186524,0.003637658943859135,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9735578784359273,0.00811818526305572,5,0.976050785411186,0.970055518035913,0.9640385492906841,0.9860582010582009,0.9763981143069017,0.9745202336205769,0.007332027126121948,5,0.9757059578249787,0.9685613939062214,0.9603174603174605,0.9859432585294654,0.975581098339719,0.973221833783569,0.008506635098177166,7,0.9755751586915553,0.9687800444178679,0.9605734716719979,0.9859422331723847,0.9755310974182263,0.9732804010744065,0.008394912786977418,6
