mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1065788745880127,0.0027285293247846783,0.0044476032257080075,0.001988366928116425,15,10,50,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9825783972125436,0.9651567944250871,0.9645155826558266,0.01016598859549073,25
0.2143016815185547,0.013943373478333753,0.00935816764831543,0.004006332460895994,15,10,100,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.9722222222222222,0.9513888888888888,0.9651567944250871,0.9860627177700348,0.9686411149825784,0.9686943476577623,0.011190193913354166,19
0.41947784423828127,0.013829574547652752,0.014239168167114258,0.002617950187687151,15,10,200,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.9652777777777778,0.9652777777777778,0.9651567944250871,0.9860627177700348,0.9616724738675958,0.9686895083236546,0.008795760992089114,20
0.11744141578674316,0.008507605121122192,0.003217649459838867,0.0004582966840531104,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9722222222222222,0.9756944444444444,0.9547038327526133,0.9895470383275261,0.9686411149825784,0.9721617305458767,0.01124193562247436,12
0.22568516731262206,0.008137772201736003,0.009380817413330078,0.0033816951918365164,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9791666666666666,0.96875,0.9616724738675958,0.9860627177700348,0.9651567944250871,0.972161730545877,0.009088895608372092,10
0.4685338020324707,0.016199398821029016,0.014251422882080079,0.0021075108303394803,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9756944444444444,0.96875,0.9616724738675958,0.9860627177700348,0.975609756097561,0.9735578784359273,0.00811818526305572,5
0.12404122352600097,0.014967385102542634,0.005257081985473633,0.002106782562262261,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9756944444444444,0.9722222222222222,0.9651567944250871,0.9825783972125436,0.9581881533101045,0.9707680023228804,0.008433365522720337,14
0.2446918487548828,0.010432554647791458,0.008299160003662109,0.0018846926420616865,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9722222222222222,0.96875,0.9616724738675958,0.9930313588850174,0.9721254355400697,0.9735602981029811,0.010463563623410733,3
0.4732032775878906,0.016181390315581762,0.017977094650268553,0.0025514895857088604,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9791666666666666,0.9652777777777778,0.9686411149825784,0.9860627177700348,0.975609756097561,0.9749516066589237,0.007417033801929523,1
0.11572089195251464,0.011781693581375263,0.005768966674804687,0.002474197883125215,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9652777777777778,0.9548611111111112,0.9547038327526133,0.9825783972125436,0.9651567944250871,0.9645155826558266,0.01016598859549073,25
0.24422998428344728,0.011576998908574552,0.008203220367431641,0.002727584214261256,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9756944444444444,0.9513888888888888,0.9651567944250871,0.9860627177700348,0.9686411149825784,0.9693887921022067,0.01149126964038873,17
0.39411358833312987,0.0248043008152446,0.010455179214477538,0.00031985223597146256,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9652777777777778,0.9652777777777778,0.9651567944250871,0.9860627177700348,0.9616724738675958,0.9686895083236546,0.008795760992089114,20
